Date,Transaction Description,Category,Amount,Type
2022-02-05,General travel transaction,Travel,582.7,Expense
2022-02-10,Netflix subscription,Entertainment,492.49,Expense
2022-02-10,Movie night at Cineplex,Entertainment,1279.51,Expense
2022-02-09,General travel transaction,Travel,1497.2,Expense
2022-02-05,Clothing at Zara,Shopping,1792.56,Expense
2022-02-21,Dinner at Carbone (fine dining),Food & Drink,1827.33,Expense
2022-02-08,General travel transaction,Travel,93.71,Expense
2022-02-14,Housing rental fee,Rent,1365.57,Expense
2022-02-01,General travel transaction,Travel,1412.75,Expense
2022-02-08,Housing rental fee,Rent,699.26,Expense
2022-02-02,Wages from Apple Inc.,Salary,640.91,Expense
2022-02-10,Gas bill - Enbridge,Utilities,227.36,Expense
2022-02-10,General travel transaction,Travel,1866.72,Expense
2022-02-22,Electronics from Best Buy,Shopping,1578.04,Expense
2022-02-17,Wages from Apple Inc.,Salary,960.12,Expense
2022-03-31,Amazon purchase,Shopping,516.37,Expense
2022-03-29,Broadway show tickets,Entertainment,1436.67,Expense
2022-03-18,Freelance payment - Upwork,Salary,1509.98,Expense
2022-03-28,Concert tickets - Drake,Entertainment,1149.68,Expense
2022-03-29,Wages from Apple Inc.,Salary,1619.3,Expense
2022-03-22,General travel transaction,Travel,1383.68,Expense
2022-03-20,Grocery run at Whole Foods,Food & Drink,1338.89,Expense
2022-03-17,Broadway show tickets,Entertainment,23.59,Expense
2022-03-27,Housing rental fee,Rent,1055.76,Expense
2022-03-23,Internet bill - Rogers,Utilities,961.58,Expense
2022-03-18,General travel transaction,Travel,1310.83,Expense
2022-03-23,General travel transaction,Travel,741.41,Expense
2022-03-24,General health & fitness transaction,Health & Fitness,837.53,Expense
2022-03-12,Home goods at IKEA,Shopping,1655.71,Expense
2022-03-07,Netflix subscription,Entertainment,359.23,Expense
2022-03-18,General travel transaction,Travel,1169.1,Expense
2022-03-01,Wages from Apple Inc.,Salary,1779.63,Expense
2022-03-07,Takeout from Shake Shack,Food & Drink,1475.87,Expense
2022-03-20,Internet bill - Rogers,Utilities,816.78,Expense
2022-03-28,General health & fitness transaction,Health & Fitness,165.42,Expense
2022-04-02,Water services - City of Toronto,Utilities,1540.25,Expense
2022-04-30,General health & fitness transaction,Health & Fitness,481.44,Expense
2022-04-24,Dinner at Carbone (fine dining),Food & Drink,288.87,Expense
2022-04-18,Dinner at Carbone (fine dining),Food & Drink,488.93,Expense
2022-04-02,Shoes from Nike Store,Shopping,755.18,Expense
2022-04-10,General health & fitness transaction,Health & Fitness,318.69,Expense
2022-04-08,Gas bill - Enbridge,Utilities,1458.44,Expense
2022-04-18,Clothing at Zara,Shopping,1233.7,Expense
2022-04-09,Coffee at Starbucks,Food & Drink,1514.8,Expense
2022-04-29,General health & fitness transaction,Health & Fitness,1159.17,Expense
2022-04-05,Mobile phone plan - Bell Canada,Utilities,1985.77,Expense
2022-04-22,Grocery run at Whole Foods,Food & Drink,497.02,Expense
2022-04-04,Electricity bill - Hydro One,Utilities,1310.53,Expense
2022-04-03,Shoes from Nike Store,Shopping,169.7,Expense
2022-04-09,Wages from Apple Inc.,Salary,1350.26,Expense
2022-04-24,Spotify Premium subscription,Entertainment,1633.41,Expense
2022-04-01,Grocery run at Whole Foods,Food & Drink,1869.82,Expense
2022-04-10,Shoes from Nike Store,Shopping,1648.49,Expense
2022-04-03,Wages from Apple Inc.,Salary,1740.54,Expense
2022-05-22,General health & fitness transaction,Health & Fitness,623.76,Expense
2022-05-07,Shoes from Nike Store,Shopping,1119.0,Expense
2022-05-19,Apartment lease payment,Rent,1496.29,Expense
2022-05-30,General health & fitness transaction,Health & Fitness,346.84,Expense
2022-05-29,General health & fitness transaction,Health & Fitness,522.08,Expense
2022-05-14,Spotify Premium subscription,Entertainment,1874.95,Expense
2022-05-13,General health & fitness transaction,Health & Fitness,613.34,Expense
2022-05-08,Condo rent transfer,Rent,1845.23,Expense
2022-05-02,Internet bill - Rogers,Utilities,1255.73,Expense
2022-05-06,Gas bill - Enbridge,Utilities,1511.29,Expense
2022-05-20,Electronics from Best Buy,Shopping,1831.1,Expense
2022-05-07,Netflix subscription,Entertainment,608.47,Expense
2022-05-11,Dinner at Carbone (fine dining),Food & Drink,1748.5,Expense
2022-05-05,Electronics from Best Buy,Shopping,822.44,Expense
2022-05-24,Concert tickets - Drake,Entertainment,747.7,Expense
2022-05-20,General travel transaction,Travel,767.52,Expense
2022-05-03,Direct deposit - Microsoft,Salary,103.3,Expense
2022-05-24,Wages from Apple Inc.,Salary,1525.64,Expense
2022-05-02,Broadway show tickets,Entertainment,832.98,Expense
2022-05-29,Movie night at Cineplex,Entertainment,1003.61,Expense
2022-06-25,Netflix subscription,Entertainment,430.72,Expense
2022-06-01,Coffee at Starbucks,Food & Drink,1052.65,Expense
2022-06-07,Paycheck from Amazon,Salary,1321.98,Expense
2022-06-18,Netflix subscription,Entertainment,1980.56,Expense
2022-06-12,Shoes from Nike Store,Shopping,1614.27,Expense
2022-06-21,Paycheck from Amazon,Salary,121.67,Expense
2022-06-30,Lunch at Chipotle,Food & Drink,1923.32,Expense
2022-06-23,Condo rent transfer,Rent,1790.63,Expense
2022-06-04,Dinner at Carbone (fine dining),Food & Drink,830.66,Expense
2022-06-13,Movie night at Cineplex,Entertainment,391.94,Expense
2022-06-17,General health & fitness transaction,Health & Fitness,1919.0,Expense
2022-06-07,Brunch at The Smith,Food & Drink,1239.49,Expense
2022-06-23,Amazon purchase,Shopping,1293.37,Expense
2022-06-01,Monthly rent payment to landlord,Rent,1890.92,Expense
2022-06-12,Housing rental fee,Rent,1836.92,Expense
2022-06-26,Drinks at local pub,Food & Drink,366.92,Expense
2022-06-04,Netflix subscription,Entertainment,145.26,Expense
2022-06-26,General travel transaction,Travel,1799.63,Expense
2022-06-19,Apartment lease payment,Rent,1310.93,Expense
2022-06-20,Coffee at Starbucks,Food & Drink,196.07,Expense
2022-07-17,Amazon purchase,Shopping,180.53,Expense
2022-07-31,General travel transaction,Travel,973.62,Expense
2022-07-17,Clothing at Zara,Shopping,379.62,Expense
2022-07-25,Mobile phone plan - Bell Canada,Utilities,183.72,Expense
2022-07-22,Direct deposit - Microsoft,Salary,726.24,Expense
2022-07-05,Condo rent transfer,Rent,687.78,Expense
2022-07-04,Apartment lease payment,Rent,1006.58,Expense
2022-07-27,Home goods at IKEA,Shopping,215.55,Expense
2022-07-01,Clothing at Zara,Shopping,1858.46,Expense
2022-07-27,Takeout from Shake Shack,Food & Drink,590.78,Expense
2022-07-13,General travel transaction,Travel,1569.26,Expense
2022-07-30,Condo rent transfer,Rent,342.74,Expense
2022-07-20,Apartment lease payment,Rent,192.13,Expense
2022-07-04,Coffee at Starbucks,Food & Drink,204.39,Expense
2022-07-19,Internet bill - Rogers,Utilities,1481.91,Expense
2022-07-06,Shoes from Nike Store,Shopping,1938.15,Expense
2022-07-02,Netflix subscription,Entertainment,1137.72,Expense
2022-07-18,Concert tickets - Drake,Entertainment,1429.09,Expense
2022-07-27,Apartment lease payment,Rent,1452.44,Expense
2022-07-17,Movie night at Cineplex,Entertainment,718.06,Expense
2022-08-17,Takeout from Shake Shack,Food & Drink,1906.48,Expense
2022-08-19,Apartment lease payment,Rent,1639.74,Expense
2022-08-16,Broadway show tickets,Entertainment,1188.53,Expense
2022-08-15,Wages from Apple Inc.,Salary,1935.85,Expense
2022-08-26,General health & fitness transaction,Health & Fitness,1406.25,Expense
2022-08-31,Movie night at Cineplex,Entertainment,897.1,Expense
2022-08-16,Home goods at IKEA,Shopping,736.38,Expense
2022-08-18,Movie night at Cineplex,Entertainment,882.53,Expense
2022-08-30,Clothing at Zara,Shopping,220.83,Expense
2022-08-22,Internet bill - Rogers,Utilities,1433.32,Expense
2022-08-21,Home goods at IKEA,Shopping,1349.23,Expense
2022-08-15,General health & fitness transaction,Health & Fitness,758.35,Expense
2022-08-23,Amazon purchase,Shopping,1073.39,Expense
2022-08-29,Shoes from Nike Store,Shopping,1933.95,Expense
2022-08-06,General health & fitness transaction,Health & Fitness,886.04,Expense
2022-08-12,Spotify Premium subscription,Entertainment,963.23,Expense
2022-08-28,General health & fitness transaction,Health & Fitness,341.01,Expense
2022-08-26,Housing rental fee,Rent,227.65,Expense
2022-08-22,Monthly rent payment to landlord,Rent,903.64,Expense
2022-08-24,Amazon purchase,Shopping,1091.85,Expense
2022-09-11,Clothing at Zara,Shopping,68.09,Expense
2022-09-10,Direct deposit - Microsoft,Salary,471.39,Expense
2022-09-19,General health & fitness transaction,Health & Fitness,710.45,Expense
2022-09-15,Condo rent transfer,Rent,1158.92,Expense
2022-09-06,Monthly rent payment to landlord,Rent,1357.51,Expense
2022-09-03,Condo rent transfer,Rent,240.98,Expense
2022-09-26,Apartment lease payment,Rent,374.26,Expense
2022-09-03,Mobile phone plan - Bell Canada,Utilities,703.17,Expense
2022-09-19,Amazon purchase,Shopping,1226.5,Expense
2022-09-26,Electricity bill - Hydro One,Utilities,633.24,Expense
2022-09-04,Housing rental fee,Rent,881.95,Expense
2022-09-28,Shoes from Nike Store,Shopping,842.3,Expense
2022-09-01,Electricity bill - Hydro One,Utilities,696.49,Expense
2022-09-23,General travel transaction,Travel,1838.18,Expense
2022-09-30,Internet bill - Rogers,Utilities,382.33,Expense
2022-09-11,Gas bill - Enbridge,Utilities,380.91,Expense
2022-09-18,Paycheck from Amazon,Salary,1060.15,Expense
2022-09-14,Lunch at Chipotle,Food & Drink,1412.42,Expense
2022-09-12,Broadway show tickets,Entertainment,904.65,Expense
2022-09-21,Water services - City of Toronto,Utilities,1629.34,Expense
2022-10-01,Dinner at Carbone (fine dining),Food & Drink,1732.39,Expense
2022-10-23,General health & fitness transaction,Health & Fitness,1723.49,Expense
2022-10-03,Paycheck from Amazon,Salary,824.18,Expense
2022-10-10,Freelance payment - Upwork,Salary,1103.96,Expense
2022-10-25,Clothing at Zara,Shopping,340.3,Expense
2022-10-31,Electricity bill - Hydro One,Utilities,654.07,Expense
2022-10-12,General health & fitness transaction,Health & Fitness,1088.67,Expense
2022-10-19,Spotify Premium subscription,Entertainment,602.44,Expense
2022-10-13,Wages from Apple Inc.,Salary,1097.24,Expense
2022-10-02,Freelance payment - Upwork,Salary,281.7,Expense
2022-10-19,Condo rent transfer,Rent,1474.62,Expense
2022-10-05,General travel transaction,Travel,457.44,Expense
2022-10-20,Direct deposit - Microsoft,Salary,533.0,Expense
2022-10-08,Paycheck from Amazon,Salary,1135.64,Expense
2022-10-30,General health & fitness transaction,Health & Fitness,1069.24,Expense
2022-10-21,Condo rent transfer,Rent,883.75,Expense
2022-10-04,Freelance payment - Upwork,Salary,982.51,Expense
2022-10-22,Movie night at Cineplex,Entertainment,427.66,Expense
2022-11-22,Monthly salary - Google,Salary,1578.72,Expense
2022-11-18,Home goods at IKEA,Shopping,443.48,Expense
2022-11-14,Apartment lease payment,Rent,811.67,Expense
2022-11-15,Grocery run at Whole Foods,Food & Drink,1739.13,Expense
2022-11-28,Electricity bill - Hydro One,Utilities,888.16,Expense
2022-11-10,General travel transaction,Travel,1259.35,Expense
2022-11-26,Dinner at Carbone (fine dining),Food & Drink,101.43,Expense
2022-11-21,General travel transaction,Travel,682.13,Expense
2022-11-04,Monthly rent payment to landlord,Rent,279.82,Expense
2022-11-17,Housing rental fee,Rent,1464.55,Expense
2022-11-19,Broadway show tickets,Entertainment,994.48,Expense
2022-11-13,Housing rental fee,Rent,1270.92,Expense
2022-11-26,Freelance payment - Upwork,Salary,42.4,Expense
2022-11-03,General travel transaction,Travel,1149.74,Expense
2022-11-05,Electronics from Best Buy,Shopping,1838.35,Expense
2022-11-09,Home goods at IKEA,Shopping,984.02,Expense
2022-11-14,General health & fitness transaction,Health & Fitness,914.84,Expense
2022-11-07,Water services - City of Toronto,Utilities,1405.84,Expense
2022-11-17,General health & fitness transaction,Health & Fitness,1701.71,Expense
2022-12-31,Condo rent transfer,Rent,1065.71,Expense
2022-12-30,Electricity bill - Hydro One,Utilities,1286.74,Expense
2022-12-15,Monthly rent payment to landlord,Rent,1976.43,Expense
2022-12-16,Water services - City of Toronto,Utilities,960.62,Expense
2022-12-01,Mobile phone plan - Bell Canada,Utilities,1765.47,Expense
2022-12-05,Broadway show tickets,Entertainment,864.17,Expense
2022-12-03,General travel transaction,Travel,195.75,Expense
2022-12-04,Condo rent transfer,Rent,749.97,Expense
2022-12-18,Monthly rent payment to landlord,Rent,1464.22,Expense
2022-12-28,Gas bill - Enbridge,Utilities,771.61,Expense
2022-12-13,Direct deposit - Microsoft,Salary,28.48,Expense
2022-12-05,Internet bill - Rogers,Utilities,113.06,Expense
2022-12-12,Housing rental fee,Rent,274.07,Expense
2023-01-27,Brunch at The Smith,Food & Drink,676.67,Expense
2023-01-19,Gas bill - Enbridge,Utilities,779.81,Expense
2023-01-24,Concert tickets - Drake,Entertainment,125.23,Expense
2023-01-29,Dinner at Carbone (fine dining),Food & Drink,1004.22,Expense
2023-01-10,Home goods at IKEA,Shopping,635.86,Expense
2023-01-04,Movie night at Cineplex,Entertainment,1259.88,Expense
2023-01-23,Movie night at Cineplex,Entertainment,1948.88,Expense
2023-01-31,Brunch at The Smith,Food & Drink,1718.79,Expense
2023-01-19,Monthly salary - Google,Salary,1909.36,Expense
2023-01-06,Condo rent transfer,Rent,1794.22,Expense
2023-01-24,Apartment lease payment,Rent,627.24,Expense
2023-01-24,Brunch at The Smith,Food & Drink,336.03,Expense
2023-01-27,Condo rent transfer,Rent,533.27,Expense
2023-01-18,Netflix subscription,Entertainment,994.83,Expense
2023-01-17,Grocery run at Whole Foods,Food & Drink,1569.77,Expense
2023-01-19,Clothing at Zara,Shopping,737.17,Expense
2023-01-30,Monthly rent payment to landlord,Rent,464.52,Expense
2023-01-21,Shoes from Nike Store,Shopping,1018.16,Expense
2023-01-25,General travel transaction,Travel,342.26,Expense
2023-01-24,Takeout from Shake Shack,Food & Drink,625.49,Expense
2023-02-02,Takeout from Shake Shack,Food & Drink,1110.2,Expense
2023-02-16,Concert tickets - Drake,Entertainment,1467.6,Expense
2023-02-01,Internet bill - Rogers,Utilities,366.13,Expense
2023-02-28,Monthly rent payment to landlord,Rent,1015.8,Expense
2023-02-24,Brunch at The Smith,Food & Drink,1945.39,Expense
2023-02-20,Brunch at The Smith,Food & Drink,473.67,Expense
2023-02-13,General travel transaction,Travel,1481.76,Expense
2023-02-08,Lunch at Chipotle,Food & Drink,1908.62,Expense
2023-02-15,General health & fitness transaction,Health & Fitness,1187.46,Expense
2023-02-07,Takeout from Shake Shack,Food & Drink,366.9,Expense
2023-02-20,Brunch at The Smith,Food & Drink,1902.47,Expense
2023-02-09,General travel transaction,Travel,661.33,Expense
2023-02-03,Shoes from Nike Store,Shopping,456.79,Expense
2023-02-18,Broadway show tickets,Entertainment,309.63,Expense
2023-02-12,Lunch at Chipotle,Food & Drink,744.15,Expense
2023-02-26,General health & fitness transaction,Health & Fitness,922.33,Expense
2023-02-06,General health & fitness transaction,Health & Fitness,549.8,Expense
2023-03-03,Shoes from Nike Store,Shopping,1328.26,Expense
2023-03-31,Water services - City of Toronto,Utilities,844.28,Expense
2023-03-15,Condo rent transfer,Rent,929.47,Expense
2023-03-08,General travel transaction,Travel,932.06,Expense
2023-03-24,Clothing at Zara,Shopping,1369.59,Expense
2023-03-16,Internet bill - Rogers,Utilities,251.69,Expense
2023-03-29,Paycheck from Amazon,Salary,1768.01,Expense
2023-03-08,Condo rent transfer,Rent,319.27,Expense
2023-03-13,Mobile phone plan - Bell Canada,Utilities,71.85,Expense
2023-03-12,Gas bill - Enbridge,Utilities,191.51,Expense
2023-03-10,Coffee at Starbucks,Food & Drink,437.89,Expense
2023-03-03,Electronics from Best Buy,Shopping,158.91,Expense
2023-03-07,Spotify Premium subscription,Entertainment,280.86,Expense
2023-03-08,General health & fitness transaction,Health & Fitness,1929.62,Expense
2023-03-21,Condo rent transfer,Rent,53.38,Expense
2023-03-13,General health & fitness transaction,Health & Fitness,798.53,Expense
2023-03-05,Amazon purchase,Shopping,1404.44,Expense
2023-03-10,Condo rent transfer,Rent,323.65,Expense
2023-03-15,Freelance payment - Upwork,Salary,1116.35,Expense
2023-03-05,General health & fitness transaction,Health & Fitness,910.99,Expense
2023-04-20,Amazon purchase,Shopping,716.06,Expense
2023-04-21,General health & fitness transaction,Health & Fitness,1828.82,Expense
2023-04-08,Amazon purchase,Shopping,548.17,Expense
2023-04-10,General travel transaction,Travel,126.6,Expense
2023-04-10,General health & fitness transaction,Health & Fitness,1536.02,Expense
2023-04-22,Movie night at Cineplex,Entertainment,1675.03,Expense
2023-04-07,General health & fitness transaction,Health & Fitness,1826.23,Expense
2023-04-01,Coffee at Starbucks,Food & Drink,1978.91,Expense
2023-04-16,Lunch at Chipotle,Food & Drink,1530.46,Expense
2023-04-04,General health & fitness transaction,Health & Fitness,964.57,Expense
2023-04-23,Freelance payment - Upwork,Salary,1088.83,Expense
2023-04-13,Water services - City of Toronto,Utilities,209.27,Expense
2023-04-15,General travel transaction,Travel,1072.04,Expense
2023-04-01,Spotify Premium subscription,Entertainment,1265.2,Expense
2023-04-20,Mobile phone plan - Bell Canada,Utilities,360.44,Expense
2023-05-22,Monthly rent payment to landlord,Rent,1443.62,Expense
2023-05-20,Water services - City of Toronto,Utilities,1276.01,Expense
2023-05-02,Dinner at Carbone (fine dining),Food & Drink,670.15,Expense
2023-05-16,Dinner at Carbone (fine dining),Food & Drink,372.34,Expense
2023-05-05,General health & fitness transaction,Health & Fitness,1921.51,Expense
2023-05-20,General health & fitness transaction,Health & Fitness,898.79,Expense
2023-05-22,Amazon purchase,Shopping,991.23,Expense
2023-05-15,Home goods at IKEA,Shopping,1703.01,Expense
2023-05-28,Spotify Premium subscription,Entertainment,333.69,Expense
2023-05-15,General travel transaction,Travel,263.42,Expense
2023-05-20,Spotify Premium subscription,Entertainment,1389.42,Expense
2023-05-07,General health & fitness transaction,Health & Fitness,281.54,Expense
2023-05-19,Condo rent transfer,Rent,483.61,Expense
2023-05-02,Electricity bill - Hydro One,Utilities,688.11,Expense
2023-05-14,Gas bill - Enbridge,Utilities,762.98,Expense
2023-05-25,Electronics from Best Buy,Shopping,211.84,Expense
2023-05-17,Broadway show tickets,Entertainment,1282.9,Expense
2023-05-14,General health & fitness transaction,Health & Fitness,454.24,Expense
2023-05-05,Amazon purchase,Shopping,1176.17,Expense
2023-05-14,Electricity bill - Hydro One,Utilities,1417.29,Expense
2023-06-25,Brunch at The Smith,Food & Drink,1683.19,Expense
2023-06-16,Direct deposit - Microsoft,Salary,1689.1,Expense
2023-06-25,Paycheck from Amazon,Salary,1149.7,Expense
2023-06-21,Wages from Apple Inc.,Salary,534.17,Expense
2023-06-22,Lunch at Chipotle,Food & Drink,310.75,Expense
2023-06-30,Dinner at Carbone (fine dining),Food & Drink,1009.18,Expense
2023-06-26,General travel transaction,Travel,167.12,Expense
2023-06-08,Spotify Premium subscription,Entertainment,824.47,Expense
2023-06-09,General travel transaction,Travel,1324.59,Expense
2023-06-17,General travel transaction,Travel,191.36,Expense
2023-06-25,Home goods at IKEA,Shopping,1931.6,Expense
2023-06-10,Home goods at IKEA,Shopping,184.38,Expense
2023-06-09,Housing rental fee,Rent,108.77,Expense
2023-06-05,Gas bill - Enbridge,Utilities,1218.56,Expense
2023-06-23,Clothing at Zara,Shopping,1941.7,Expense
2023-06-08,Dinner at Carbone (fine dining),Food & Drink,211.5,Expense
2023-06-04,Paycheck from Amazon,Salary,1411.96,Expense
2023-06-19,Gas bill - Enbridge,Utilities,897.09,Expense
2023-06-22,Monthly rent payment to landlord,Rent,180.56,Expense
2023-06-10,Freelance payment - Upwork,Salary,315.64,Expense
2023-07-15,Internet bill - Rogers,Utilities,558.07,Expense
2023-07-19,General travel transaction,Travel,1948.7,Expense
2023-07-25,Internet bill - Rogers,Utilities,140.58,Expense
2023-07-27,Spotify Premium subscription,Entertainment,1675.58,Expense
2023-07-10,Clothing at Zara,Shopping,233.91,Expense
2023-07-15,General health & fitness transaction,Health & Fitness,1384.12,Expense
2023-07-20,Monthly rent payment to landlord,Rent,383.99,Expense
2023-07-16,Grocery run at Whole Foods,Food & Drink,682.35,Expense
2023-07-15,Wages from Apple Inc.,Salary,1148.33,Expense
2023-07-07,Monthly rent payment to landlord,Rent,183.18,Expense
2023-07-01,Electricity bill - Hydro One,Utilities,249.36,Expense
2023-07-26,Amazon purchase,Shopping,279.94,Expense
2023-07-17,General travel transaction,Travel,567.89,Expense
2023-07-21,Clothing at Zara,Shopping,1484.48,Expense
2023-07-18,Monthly rent payment to landlord,Rent,1945.27,Expense
2023-07-10,General health & fitness transaction,Health & Fitness,1714.68,Expense
2023-07-10,Dinner at Carbone (fine dining),Food & Drink,1575.24,Expense
2023-07-02,Internet bill - Rogers,Utilities,1898.63,Expense
2023-07-11,Monthly rent payment to landlord,Rent,1573.63,Expense
2023-07-13,General health & fitness transaction,Health & Fitness,1757.01,Expense
2023-08-11,Takeout from Shake Shack,Food & Drink,1730.61,Expense
2023-08-10,Concert tickets - Drake,Entertainment,545.48,Expense
2023-08-30,Monthly rent payment to landlord,Rent,968.66,Expense
2023-08-21,General travel transaction,Travel,853.38,Expense
2023-08-04,Amazon purchase,Shopping,1274.47,Expense
2023-08-09,General travel transaction,Travel,64.63,Expense
2023-08-23,General travel transaction,Travel,1357.62,Expense
2023-08-09,General travel transaction,Travel,1500.43,Expense
2023-08-30,General travel transaction,Travel,384.84,Expense
2023-08-16,Takeout from Shake Shack,Food & Drink,953.45,Expense
2023-08-07,Freelance payment - Upwork,Salary,363.39,Expense
2023-08-30,General travel transaction,Travel,1315.68,Expense
2023-08-17,General travel transaction,Travel,1428.35,Expense
2023-08-07,General health & fitness transaction,Health & Fitness,695.06,Expense
2023-08-30,General travel transaction,Travel,1284.78,Expense
2023-08-25,Shoes from Nike Store,Shopping,1173.13,Expense
2023-08-22,General health & fitness transaction,Health & Fitness,923.41,Expense
2023-08-01,Movie night at Cineplex,Entertainment,555.22,Expense
2023-09-14,Apartment lease payment,Rent,949.72,Expense
2023-09-12,Mobile phone plan - Bell Canada,Utilities,1894.38,Expense
2023-09-13,General travel transaction,Travel,846.74,Expense
2023-09-21,Mobile phone plan - Bell Canada,Utilities,1560.09,Expense
2023-09-15,Home goods at IKEA,Shopping,117.58,Expense
2023-09-21,Mobile phone plan - Bell Canada,Utilities,633.69,Expense
2023-09-04,General travel transaction,Travel,1814.75,Expense
2023-09-12,Condo rent transfer,Rent,452.28,Expense
2023-09-14,General health & fitness transaction,Health & Fitness,528.51,Expense
2023-09-04,Netflix subscription,Entertainment,692.9,Expense
2023-09-11,General travel transaction,Travel,1453.12,Expense
2023-09-07,Direct deposit - Microsoft,Salary,1813.99,Expense
2023-09-29,Clothing at Zara,Shopping,812.75,Expense
2023-09-16,Water services - City of Toronto,Utilities,1984.77,Expense
2023-09-01,Broadway show tickets,Entertainment,1800.38,Expense
2023-09-16,Wages from Apple Inc.,Salary,295.02,Expense
2023-09-11,Internet bill - Rogers,Utilities,594.63,Expense
2023-09-04,Takeout from Shake Shack,Food & Drink,1170.22,Expense
2023-09-14,Housing rental fee,Rent,946.37,Expense
2023-09-01,Shoes from Nike Store,Shopping,1324.46,Expense
2023-10-08,Freelance payment - Upwork,Salary,1458.39,Expense
2023-10-30,Shoes from Nike Store,Shopping,1663.0,Expense
2023-10-09,Electricity bill - Hydro One,Utilities,692.04,Expense
2023-10-14,Internet bill - Rogers,Utilities,430.27,Expense
2023-10-15,Takeout from Shake Shack,Food & Drink,756.63,Expense
2023-10-15,Brunch at The Smith,Food & Drink,1191.91,Expense
2023-10-17,Condo rent transfer,Rent,1099.09,Expense
2023-10-11,General health & fitness transaction,Health & Fitness,1502.73,Expense
2023-10-09,General health & fitness transaction,Health & Fitness,872.99,Expense
2023-10-03,Home goods at IKEA,Shopping,19.29,Expense
2023-10-06,General health & fitness transaction,Health & Fitness,631.06,Expense
2023-10-04,Concert tickets - Drake,Entertainment,45.65,Expense
2023-10-27,Water services - City of Toronto,Utilities,418.93,Expense
2023-10-27,Takeout from Shake Shack,Food & Drink,609.22,Expense
2023-10-04,General health & fitness transaction,Health & Fitness,1900.64,Expense
2023-10-29,General travel transaction,Travel,1249.37,Expense
2023-11-08,Movie night at Cineplex,Entertainment,1379.53,Expense
2023-11-11,Internet bill - Rogers,Utilities,1899.4,Expense
2023-11-15,General health & fitness transaction,Health & Fitness,1605.18,Expense
2023-11-09,Housing rental fee,Rent,1672.11,Expense
2023-11-21,Wages from Apple Inc.,Salary,1910.63,Expense
2023-11-26,Electricity bill - Hydro One,Utilities,234.98,Expense
2023-11-23,Monthly rent payment to landlord,Rent,807.55,Expense
2023-11-11,Monthly rent payment to landlord,Rent,1449.89,Expense
2023-11-26,Freelance payment - Upwork,Salary,1601.8,Expense
2023-11-08,Internet bill - Rogers,Utilities,88.42,Expense
2023-11-27,General health & fitness transaction,Health & Fitness,1226.6,Expense
2023-11-18,Grocery run at Whole Foods,Food & Drink,29.25,Expense
2023-11-14,General travel transaction,Travel,535.61,Expense
2023-11-28,Gas bill - Enbridge,Utilities,971.33,Expense
2023-11-08,Broadway show tickets,Entertainment,722.26,Expense
2023-11-26,Monthly rent payment to landlord,Rent,837.9,Expense
2023-11-09,Broadway show tickets,Entertainment,15.45,Expense
2023-11-27,Monthly salary - Google,Salary,370.71,Expense
2023-11-28,Amazon purchase,Shopping,886.97,Expense
2023-11-22,Condo rent transfer,Rent,751.52,Expense
2023-12-11,Housing rental fee,Rent,1505.35,Expense
2023-12-08,Freelance payment - Upwork,Salary,698.04,Expense
2023-12-06,Condo rent transfer,Rent,871.37,Expense
2023-12-27,General health & fitness transaction,Health & Fitness,1124.7,Expense
2023-12-14,Netflix subscription,Entertainment,166.87,Expense
2023-12-26,Takeout from Shake Shack,Food & Drink,1635.01,Expense
2023-12-13,General health & fitness transaction,Health & Fitness,1940.59,Expense
2023-12-23,General travel transaction,Travel,1781.32,Expense
2023-12-18,Paycheck from Amazon,Salary,185.16,Expense
2023-12-22,Drinks at local pub,Food & Drink,1653.56,Expense
2023-12-29,Wages from Apple Inc.,Salary,236.91,Expense
2023-12-20,General health & fitness transaction,Health & Fitness,246.23,Expense
2023-12-21,Brunch at The Smith,Food & Drink,214.26,Expense
2023-12-10,Freelance payment - Upwork,Salary,1705.22,Expense
2023-12-05,General health & fitness transaction,Health & Fitness,1043.01,Expense
2023-12-09,Grocery run at Whole Foods,Food & Drink,33.17,Expense
2023-12-09,Clothing at Zara,Shopping,305.82,Expense
2023-12-29,Movie night at Cineplex,Entertainment,14.37,Expense
2023-12-05,Netflix subscription,Entertainment,1956.01,Expense
2023-12-29,Monthly salary - Google,Salary,1436.15,Expense
2024-01-22,Amazon purchase,Shopping,1351.74,Expense
2024-01-30,Concert tickets - Drake,Entertainment,1026.74,Expense
2024-01-26,Spotify Premium subscription,Entertainment,541.29,Expense
2024-01-09,Spotify Premium subscription,Entertainment,1436.41,Expense
2024-01-19,General travel transaction,Travel,1376.36,Expense
2024-01-02,Apartment lease payment,Rent,101.1,Expense
2024-01-11,Monthly salary - Google,Salary,1849.5,Expense
2024-01-19,Water services - City of Toronto,Utilities,1012.75,Expense
2024-01-19,General health & fitness transaction,Health & Fitness,1423.6,Expense
2024-01-16,General health & fitness transaction,Health & Fitness,1426.63,Expense
2024-01-23,General travel transaction,Travel,1756.18,Expense
2024-01-15,Netflix subscription,Entertainment,554.46,Expense
2024-01-11,Electricity bill - Hydro One,Utilities,1928.07,Expense
2024-01-27,Coffee at Starbucks,Food & Drink,723.78,Expense
2024-01-19,Water services - City of Toronto,Utilities,1962.86,Expense
2024-01-02,General travel transaction,Travel,1099.9,Expense
2024-01-20,Monthly salary - Google,Salary,1169.78,Expense
